Feature ID,106A_Female_TotalReads,108A_Female_TotalReads,106A_Male_TotalReads,108A_Male_TotalReads
TR60340,2,19,90,1
TR60341,2,7,9,3
TR60342,170,222,320,452
TR60343,1,4,3,7
TR60344,1,1,0,4
TR60345,3,9,3,8
TR60346,3,0,2,15
TR60347,2,10,2,0
TR60348,3,4,19,2
TR60349,0,1,8,7
TR6035,21,4,81,53
TR60350,3,0,5,0
TR60351,3,4,6,6
TR60352,1,3,6,7
TR60353,5,17,0,0
TR60354,12,11,10,18
TR60355,6,1,2,0
TR60356,13,6,0,11
TR60357,0,0,11,11
TR60358,14,7,8,7
TR60359,1,2,5,20
TR60360,6,10,8,12
TR60361,3,4,5,2
TR60362,0,2,2,0
TR60363,7,1,11,3
TR60364-1,1,1,2,3
TR60364-2,0,6,0,1
TR60365,0,7,2,3
TR60366,2,4,4,3
TR60367,2,4,2,3
TR60368,4,0,2,3
TR60369,3,1,4,7
TR6037,6,2,4,1
TR60370,9,1,9,15
TR60371,5,7,9,4
TR60372,6,0,9,2
TR60373,0,5,3,1
TR60374,37,24,45,17
TR60375,3,1,3,1
TR60376,3,9,5,7
TR60377,5,6,3,13
TR60378,2,3,3,6
TR60379,0,6,2,10
TR6038-1,13,19,15,27
TR6038-2,45,28,41,22
TR60380,2,0,3,2
TR60381,1,1,2,4
TR60382,2,0,3,4
TR60383,1,6,5,6
TR60384,2,2,4,6
TR60385,3,8,12,4
TR60386,1,2,2,6
TR60387,6,11,8,4
TR60388,0,1,3,5
TR60389,8,13,7,16
TR60390,0,1,4,8
TR60391,1,1,1,4
TR60392,2,7,5,1
TR60393,2,0,8,0
TR60394-1,2,1,2,0
TR60394-2,1,0,1,7
TR60395,0,8,0,2
TR60396,17,4,5,4
TR60397,4,2,1,0
TR60398,0,0,9,1
TR60399,5,7,9,10
TR604,9,3,9,23
TR60400,0,3,1,3
TR60401,0,11,4,2
TR60402,0,13,7,7
TR60403,2,2,9,8
TR60404,4,10,4,4
TR60405,2,4,2,6
TR60406,9,2,1,0
TR60407,11,5,15,1
TR60408,3,0,1,8
TR6041,33,3,25,0
TR60410,0,1,6,3
TR60411,4,2,8,3
TR60412,0,3,2,1
TR60413,0,6,0,2
TR60414,4,0,2,1
TR60415,219,302,148,81
TR60416,0,0,3,6
TR60417,10,11,1,2
TR60418,0,6,5,1
TR60419,1,4,5,3
TR60420,8,10,13,12
TR60421,3,8,13,14
TR60422,8,5,5,1
TR60423,1,0,1,2
TR60424,0,1,8,4
TR60425,11,3,4,0
TR60426,18,0,0,0
TR60427,1,4,7,0
TR60428,0,1,13,1
TR60429,2,7,7,2
TR6043,6,2,9,15
TR60430,1,3,4,4
TR60431,2,3,9,0
TR60432,2,0,21,1
TR60433,0,3,5,20
TR60434,1,6,3,2
TR60435,0,2,3,5
TR60436,0,8,6,5
TR60437,2,21,0,0
TR60438-1,3,0,6,6
TR60438-2,1,4,5,4
TR60439,1,6,6,11
TR6044,94,36,32,33
TR60440,2,4,3,10
TR60441,8,4,6,3
TR60442,2,5,3,1
TR60443,1,3,9,6
TR60444,0,1,3,2
TR60445,2,9,3,10
TR60446,5,8,10,5
TR60447,8,2,2,2
TR60448,3,1,5,5
TR60449,7,4,5,3
TR6045,0,8,0,37
TR60450,3,8,26,5
TR60451,0,25,0,0
TR60452,9,21,33,4
TR60453,1,3,0,8
TR60454,2,3,1,3
TR60455,2,8,4,3
TR60456,7,20,7,17
TR60457,6,9,8,9
TR60458,4,1,4,0
TR60460,2,4,17,8
TR60461,4,5,3,5
TR60462,0,4,4,3
TR60463,0,10,0,0
TR60464,22,19,25,16
TR60465,2,3,2,3
TR60466,5,2,5,5
TR60467,16,11,21,20
TR60468,1,1,3,6
TR60469,5,4,1,2
TR60470,2,1,2,8
TR60471,2,4,5,9
TR60472,6,2,4,1
TR60473,1,3,4,2
TR60474,1,7,8,5
TR60475,1,4,4,4
TR60476,0,0,3,12
TR60477,1,6,2,11
TR60478,1,1,3,1
TR60479,6,2,23,1
TR6048,1,2,3,2
TR60480,1,2,2,11
TR60481,0,48,0,0
TR60482,4,1,7,3
TR60483,1,4,14,20
TR60484,4,8,7,7
TR60485,30,0,0,0
TR60486,0,0,45,0
TR60487,1,1,5,2
TR60488,7,9,9,11
TR60489,12,11,0,1
TR60490,1,1,8,3
TR60491,2,6,6,3
TR60492,1,0,8,2
TR60493,11,14,13,4
TR60494,3,5,2,5
TR60495,0,0,5,1
TR60496,2,2,1,0
TR60497,2,3,3,1
TR60498,3,1,3,1
TR60499,7,2,5,3
TR605,9,6,4,2
TR6050,11,15,60,38
TR60500,9,0,0,0
TR60501,6,4,15,2
TR60502,0,2,2,3
TR60503,4,1,2,4
TR60504,0,2,4,12
TR60505,7,5,1,3
TR60506,4,3,10,11
TR60507,4,8,13,24
TR60508,1,1,3,1
TR60509,7,9,9,10
TR60510,5,5,3,6
TR60511,4,4,2,2
TR60512,1,2,4,6
TR60513,3,2,1,2
TR60514,5,25,16,38
TR60515,0,1,10,11
TR60516,3,0,7,10
TR60517,2,6,5,8
TR60518,2,5,1,3
TR60519,0,8,9,6
TR6052,215,205,310,135
TR60520,2,0,3,4
TR60521,5,10,7,1
TR60522,2,0,4,1
TR60523,1,2,4,9
TR60524,2,2,7,5
TR60525,2,2,5,27
TR60526,17,7,7,8
TR60527,4,9,7,13
TR60528,4,1,6,5
TR60529,3,7,13,11
TR6053,12,9,25,63
TR60530,2,1,4,5
TR60531,4,5,11,6
TR60532,4,8,4,11
TR60533,2,5,2,2
TR60534,1,3,4,9
TR60535,4,5,0,4
TR60536,2,4,6,1
TR60537,2,3,6,5
TR60538,0,1,5,11
TR60539,2,3,6,2
TR60540,5,6,6,3
TR60541,5,7,6,28
TR60542,10,6,24,4
TR60543,1,3,4,4
TR60544,1,2,5,2
TR60545,4,2,3,4
TR60546,0,0,0,22
TR60547,4,4,3,3
TR60548,3,2,9,2
TR60549,6,5,4,6
TR6055,530,2952,1325,1652
TR60550,3,3,1,0
TR60551,1,2,2,7
TR60552,2,6,4,0
TR60553,3,7,0,4
TR60554,5,1,0,1
TR60555,1,3,1,4
TR60556,5,4,14,3
TR60557,4,4,16,1
TR60558,1,5,2,2
TR60559,4,3,4,5
TR6056,7,13,7,9
TR60560,7,0,9,0
TR60561,5,2,4,1
TR60562,0,2,16,0
TR60563,4,5,7,7
TR60564,2,3,11,14
TR60566,1,11,0,0
TR60567,0,0,6,2
TR60568,2,3,6,1
TR60569,3,4,4,2
TR60570,0,5,0,5
TR60571,6,3,7,4
TR60572,4,3,7,6
TR60573,0,4,2,3
TR60574,2,2,3,5
TR60575,19,0,8,22
TR60576,7,5,2,5
TR60577,0,0,15,1
TR60578,0,1,3,3
TR60579,1,3,3,5
TR60580,1,5,6,4
TR60581,3,13,11,8
TR60582,6,4,9,11
TR60583,0,0,4,5
TR60584,4,4,2,3
TR60585,5,3,9,2
TR60586,0,4,1,1
TR60587,0,1,3,10
TR60588,0,0,4,2
TR60589,1,3,2,6
TR60590,10,1,19,9
TR60591,15,18,35,24
TR60592,2,7,7,2
TR60593,8,14,19,44
TR60594,2,2,7,13
TR60595,12,3,18,9
TR60596,2,2,6,3
TR60597,2,1,5,2
TR60598,1,1,1,3
TR60599,4,5,6,0
TR606,1,9,3,1
TR6060,8,13,7,13
TR60601,0,5,4,8
TR60602,4,2,10,9
TR60603,1,5,4,3
TR60604,8,29,4,2
TR60605,8,15,29,34
TR60606,0,2,9,3
TR60607,0,21,47,11
TR60608,5,3,11,8
TR60609,4,2,7,7
TR6061,2,2,2,7
TR60610,2,4,4,4
TR60611,35,6,156,196
TR60612,10,11,18,26
TR60613,0,1,5,3
TR60614,5,0,4,6
TR60615,2,3,2,4
TR60616,5,13,3,39
TR60617,0,6,14,2
TR60618,4,9,4,7
TR60619,7,9,18,7
TR6062-1,0,1,4,1
TR6062-2,2,4,0,3
TR60620,3,6,5,4
TR60621,4,9,4,3
TR60622,2,3,3,0
TR60623,0,0,6,4
TR60624,0,5,7,2
TR60625,10,9,14,41
TR60626,2,10,5,2
TR60627,0,3,15,7
TR60628,25,106,58,104
TR60629,1,8,10,10
TR6063,4,9,8,1
TR60630,3,4,0,0
TR60631,1,3,3,4
TR60632,2,8,9,7
TR60633,1,2,2,9
TR60634,5,7,17,6
TR60635,0,5,3,4
TR60636,4,3,1,1
TR60637,1,4,6,2
TR60638,1,2,1,3
TR60639,1,2,5,0
TR60640,1,8,8,6
TR60641,0,0,4,3
TR60642,9,5,1,0
TR60643,2,1,0,2
TR60644,37,0,0,5
TR60645,3,2,10,8
TR60646,2,8,3,2
TR60647,1,5,2,5
TR60648,0,1,25,4
TR60649,3,11,0,0
TR6065,4,28,28,1
TR60650,0,1,5,2
TR60651,5,3,6,14
TR60652,3,2,7,9
TR60653,0,5,4,7
TR60654,3,5,2,0
TR60655,0,0,6,14
TR60656,5,3,4,7
TR60657,7,6,5,13
TR60658,1,4,3,3
TR60659,4,3,21,11
TR6066,8,48,4,1
TR60660,5,9,6,3
TR60661,1,1,2,2
TR60662,1,7,6,7
TR60663,0,1,2,0
TR60664,2,2,2,3
TR60665,3,9,4,23
TR60666,3,4,5,6
TR60667,8,6,5,3
TR60668,5,3,1,7
TR60669,0,0,19,7
TR6067,2,3,12,4
TR60670,5,0,3,9
TR60672,0,0,1,5
TR60673,5,5,4,1
TR60674,2,0,9,0
TR60675,3,2,3,5
TR60676,4,3,7,3
TR60677,1,4,5,1
TR60678,1,1,8,7
TR60679,7,2,4,3
TR6068,64,63,17,16
TR60680,5,8,8,12
TR60681,4,20,3,2
TR60682,2,0,7,4
TR60683,4,10,6,4
TR60685,0,1,0,6
TR60686,10,7,7,6
TR60687,2,4,13,7
TR60688,0,3,2,3
TR60689,2,3,2,4
TR6069,2,4,6,2
TR60690,2,111,0,0
TR60691,5,3,4,5
TR60692,2,3,2,2
TR60693,1,3,4,8
TR60694,0,1,9,3
TR60695,10,33,5,8
TR60696,0,2,4,4
TR60697,13,26,16,16
TR60698,2,8,4,2
TR60699,4,5,6,6
TR607,7,5,10,11
TR6070,9,13,12,8
TR60700,10,3,8,9
TR60701,0,1,2,2
TR60702,0,13,0,0
TR60703,0,0,15,20
TR60704,8,5,9,6
TR60705,3,5,1,4
TR60706,0,0,4,8
TR60707,1,0,9,9
TR60708,6,12,0,5
TR60709,4,5,7,4
TR6071,5,4,4,0
TR60710,2,6,6,6
TR60711,1,4,3,2
TR60712,11,0,0,13
TR60714,1,2,3,4
TR60715,10,3,4,4
TR60716,0,1,0,14
TR60717,2,9,4,1
TR60718,0,1,1,2
TR60719,0,3,3,4
TR6072,8,7,16,14
TR60720,8,3,12,14
TR60721,2,6,1,3
TR60722,3,4,2,2
TR60723,0,4,47,0
TR60724-1,0,2,4,0
TR60724-2,2,1,1,0
TR60725,3,4,8,5
TR60726,10,8,1,8
TR60727,5,3,9,4
TR60728,7,2,7,3
TR60729,4,1,2,6
TR6073,0,5,0,1
TR60730,1,2,4,1
TR60731,2,1,10,3
TR60732,1,1,20,3
TR60733,4,5,20,8
TR60734,2,2,3,2
TR60735,2,0,3,7
TR60736,7,16,0,4
TR60737,2,3,6,5
TR60738,2,0,0,5
TR60739,0,1,6,2
TR6074,3,9,9,19
TR60740,4,10,3,6
TR60741,3,1,1,0
TR60742,23,23,28,25
TR60743,8,15,7,16
TR60744,0,0,15,0
TR60745,10,0,6,4
TR60746,0,3,4,4
TR60747,3,3,0,2
TR60748,8,4,8,4
TR60749,7,10,8,18
TR6075,8,10,22,6
TR60750,1,4,3,3
TR60751,0,2,1,1
TR60752,10,6,13,2
TR60753,5,0,0,0
TR60754,0,1,6,2
TR60755,1,0,5,6
TR60756,7,15,16,22
TR60758,5,9,7,5
TR60759,2,2,2,1
TR60760,15,0,1,5
TR60761,4,2,3,1
TR60762,3,1,2,8
TR60763,3,3,4,1
TR60764,11,12,19,19
TR60765,10,0,0,0
TR60766,9,21,31,29
TR60767,4,6,2,1
TR60768,0,2,3,10
TR60769,3,5,5,1
TR60770,0,4,0,1
TR60771,0,2,3,1
TR60772,4,8,5,9
TR60773,2,6,10,2
TR60774,11,5,13,19
TR60775,2,2,4,3
TR60776,11,16,0,2
TR60777,1,0,7,11
TR60778,1,3,2,1
TR60779,0,0,11,0
TR6078,9,6,8,9
TR60780,2,0,3,6
TR60781,4,4,13,3
TR60782,16,19,21,21
TR60783,0,0,9,1
TR60784,2,0,3,6
TR60785,2,2,7,3
TR60786,7,7,1,0
TR60787,8,5,16,8
TR60788,1,0,1,5
TR60789,7,9,10,11
TR6079,4,2,5,6
TR60790,3,1,3,4
TR60791,2,1,1,5
TR60792,1,1,3,1
TR60793,9,9,9,11
TR60794,8,34,14,21
TR60795,1,1,2,0
TR60796,7,6,10,5
TR60797,20,5,26,85
TR60798,8,10,3,2
TR60799,12,1,8,3
TR6080,3,2,0,7
TR60800,2,3,3,1
TR60801,9,8,10,3
TR60802,17,6,18,14
TR60803,8,2,7,5
TR60804,1,8,2,0
TR60805,6,1,7,4
TR60806,1,6,3,1
TR60807,10,13,4,11
TR60808,11,7,21,7
TR60809,14,14,27,32
TR6081,2,2,1,10
TR60810,2,1,2,5
TR60811,10,12,19,61
TR60812,10,6,9,2
TR60813,0,0,18,0
TR60814,309,217,343,195
TR60815,8,11,14,18
TR60816,3,6,4,0
TR60817,9,10,2,2
TR60818,2,0,2,4
TR60819,6,7,9,2
TR6082,2,6,12,0
TR60820,0,6,1,1
TR60821,6,2,14,17
TR60822,2,9,4,6
TR60823,1,0,0,15
TR60824,0,17,0,0
TR60825,5,8,26,12
TR60826,3,2,2,3
TR60827,2,4,2,2
TR60828,2,1,7,5
TR60829,9,2,0,3
TR60830,2,0,4,2
TR60831,1,3,4,3
TR60832,3,3,1,6
TR60833,3,1,6,3
TR60834,9,4,23,3
TR60835,1,5,5,5
TR60836,2,3,3,0
TR60837,1,5,4,3
TR60838,3,5,0,5
TR60839,0,1,6,15
TR6084,16,32,28,28
TR60840,15,4,4,1
TR60841,2,2,12,6
TR60842,3,8,3,10
TR60843,1,1,2,4
TR60844,1,6,7,4
TR60845,2,0,18,0
TR60846,0,5,3,1
TR60847,5,4,7,5
TR60848,3,5,13,8
TR60849,1,2,14,8
TR6085,19,18,20,14
TR60850,7,26,12,1
TR60851,1,1,4,3
TR60852,2,0,8,2
TR60853,7,5,1,4
TR60854,364,285,620,1170
TR60855,0,7,0,2
TR60856,1,4,5,6
TR60857,8,9,28,24
TR60858,8,18,3,9
TR60859,1,4,5,0
TR6086,18,15,32,36
TR60860,3,5,3,3
TR60861,2,8,5,0
TR60862,8,5,1,0
TR60863,3,2,1,0
TR60864,7,7,6,11
TR60865,2,11,0,0
TR60866,11,6,6,10
TR60867,3,8,1,7
TR60868,5,0,0,1
TR60869,0,2,2,5
TR6087,3,1,2,5
TR60870,6,2,14,11
TR60871,2,6,7,5
TR60872,4,6,2,5
TR60873,8,4,7,7
TR60875,4,7,6,16
TR60876,1,1,0,1
TR60877,4,1,3,4
TR60878,3,5,8,2
TR60879,0,1,7,6
TR60880,7,9,23,9
TR60881,1,3,2,4
TR60882,0,1,5,5
TR60883,1,1,2,3
TR60884,1,4,10,6
TR60885,5,6,20,17
TR60886,0,5,14,0
TR60887,0,0,19,5
TR60888,1,3,3,1
TR60889,0,2,6,2
TR6089,2,0,1,12
TR60890,0,0,1,10
TR60891,5,5,7,8
TR60892,1,4,3,13
TR60893,1,1,18,3
TR60894,0,5,5,8
TR60895,9,1,12,16
TR60896,1,0,7,1
TR60897,0,1,2,0
TR60898,1,8,4,6
TR60899,0,2,2,5
TR609,1,1,2,3
TR6090,8,5,5,4
TR60900,2,1,6,4
TR60901,4,2,1,4
TR60902,1,1,4,7
TR60903,3,1,7,7
TR60904,3,2,4,2
TR60905,3,11,13,2
TR60906,2,7,3,9
TR60907,4,8,4,7
TR60908,1,0,3,3
TR60909,1,10,2,3
TR6091,8,15,12,22
TR60910,10,10,8,6
TR60911,0,1,5,4
TR60912,9,1,11,8
TR60913,15,7,9,3
TR60914,2,1,2,3
TR60915,6,2,4,0
TR60916,1,3,16,14
TR60917,4,1,6,10
TR60918,0,2,47,5
TR60919,2,5,13,3
TR60920,3,5,6,4
TR60921,1,0,2,6
TR60922,0,2,10,10
TR60923,0,1,4,1
TR60924,7,0,3,2
TR60925,1,4,5,7
TR60926,1,1,26,0
TR60927,3,3,5,8
TR60928,1,0,1,6
TR60929,1,0,2,4
TR60930,3,2,2,2
TR60931,12,7,4,1
TR60932,5,5,4,8
TR60933,0,5,2,1
TR60934,2,8,1,3
TR60936,1,1,4,3
TR60937,1,1,2,4
TR60938,4,8,12,5
TR60939,2,5,9,2
TR60940,1,6,3,2
TR60941,2,1,5,5
TR60942,1,5,1,8
TR60943,1,6,0,6
TR60944,2,5,10,7
TR60945,2,6,39,22
TR60946,1,4,2,2
TR60947,0,2,7,1
TR60948,1,8,2,1
TR60949,11,1,5,1
TR6095,2,6,2,7
TR60950,0,1,4,4
TR60951,7,14,27,13
TR60952,5,4,16,10
TR60953,3,1,7,8
TR60954,0,0,9,1
TR60955,5,9,5,6
TR60956,5,3,4,3
TR60957,2,3,11,0
TR60958,0,2,3,2
TR60959,3,4,3,4
TR6096,0,0,4,7
TR60960,5,5,5,0
TR60961,5,4,5,0
TR60962,5,3,12,9
TR60963,1,2,1,1
TR60964,1,4,0,1
TR60965,1,2,3,3
TR60966,2,2,3,4
TR60967,2,1,3,4
TR60968,2,16,8,6
TR60969,50,39,50,39
TR60971,0,1,11,4
TR60972,5,2,7,5
TR60973,18,3,8,2
TR60974,17,9,3,6
TR60975,1,5,7,14
TR60976,2,1,22,0
TR60977,1,0,1,2
TR60978,4,3,10,8
TR60979,2,3,3,1
TR6098,17,0,0,24
TR60980,0,0,7,10
TR60981,0,2,1,3
TR60982,4,16,17,22
TR60983,0,2,5,7
TR60984,9,0,2,2
TR60985,0,0,9,0
TR60987,2,3,7,3
TR60988,0,6,1,0
TR60989,1,0,5,6
TR6099,9,8,21,45
TR60990,11,4,25,0
TR60992,4,8,2,4
TR60993,10,11,28,23
TR60994,1,4,22,6
TR60995,6,9,36,27
TR60996,0,2,4,6
TR60997,6,3,5,3
TR60998,0,1,0,5
TR60999,1,2,1,3
TR61000,7,1,3,1
TR61001,0,4,4,1
TR61002,0,2,28,1
TR61003,1,0,4,2
TR61004,0,0,10,2
TR61005,0,0,1,3
TR61006,1,1,8,4
TR61007,3,5,4,5
TR61008,0,5,2,4
TR61009,1,4,5,2
TR6101,4,3,13,5
TR61010,2,10,3,4
TR61011,3,6,11,6
TR61012,3,2,9,1
TR61013,3,5,7,8
TR61014,4,1,6,2
TR61015,2,2,21,18
TR61017,2,3,38,31
TR61018,10,4,9,8
TR61019,8,2,5,10
TR61020,1,2,0,14
TR61021,29,38,45,34
TR61022,10,6,5,5
TR61023,2,1,1,3
TR61024,1,19,16,5
TR61025,16,13,20,14
TR61026,1,0,18,3
TR61027,3,6,3,2
TR61028,5,7,17,4
TR61029,0,3,7,2
TR61030,1,1,2,1
TR61031,0,2,7,21
TR61032,88,99,163,191
TR61034,4,3,7,5
TR61035,17,0,0,0
TR61036,15,20,33,6
TR61038,1,4,7,3
TR61039,0,1,4,2
TR61040,2,2,4,6
TR61041,2,3,8,9
TR61042,0,9,3,0
TR61043,5,9,10,9
TR61044,10,4,3,0
TR61045,1,2,2,3
TR61046,0,0,15,0
TR61047,5,2,3,3
TR61048,18,2,0,5
TR61049,4,9,12,2
TR6105,5,5,3,11
TR61050,1,9,0,1
TR61051,3,1,4,1
TR61052,1,0,3,5
TR61053,7,0,2,1
TR61054,4,1,1,1
TR61055,0,2,14,7
TR61056,13,4,9,8
TR61057,3,0,16,22
TR61058,0,2,0,4
TR61059,4,8,13,2
TR6106,6,6,5,7
TR61060,2,0,2,3
TR61061,3,5,18,7
TR61062,2,4,8,9
TR61063,3,4,8,4
TR61064,2,3,13,15
TR61065,2,4,10,15
TR61066,0,1,1,4
TR61067,0,0,11,0
TR61069,2,9,5,1
TR6107,0,2,3,4
TR61070,0,1,3,8
TR61071,9,0,2,0
TR61072,5,2,5,7
TR61073,2,3,0,0
TR61074,2,2,1,5
TR61076,13,18,2,17
TR61077,25,20,25,13
TR61078,7,1,2,1
TR61079,0,1,5,3
TR6108,76,101,209,203
TR61080,1,3,2,1
TR61081,3,1,3,0
TR61082,0,3,8,1
TR61083,1,0,5,5
TR61084,0,7,4,0
TR61085,0,2,2,6
TR61086,5,2,2,6
TR61087,3,1,3,3
TR61088,3,1,6,3
TR61089,2,5,7,3
TR6109,274,335,490,539
TR61090,2,3,0,4
TR61091,0,3,2,0
TR61092,4,1,11,9
TR61093,0,2,3,2
TR61094,4,2,4,1
TR61095,4,3,4,3
TR61096,0,5,5,4
TR61097,4,5,1,4
TR61099,0,1,1,3
TR6110,5,1,6,2
TR61100,1,1,5,4
TR61101,4,1,3,5
TR61102,0,3,2,3
TR61103,0,7,7,10
TR61104,0,2,4,3
TR61105,3,1,6,3
TR61106,6,6,11,6
TR61108,0,1,7,4
TR61109,3,3,6,3
TR6111,6,8,13,5
TR61111,1,2,9,1
TR61112,3,3,7,18
TR61113,2,5,8,4
TR61114,3,0,1,3
TR61115,0,9,3,7
TR61116,25,0,1,2
TR61117,4,1,6,3
TR61118,1,1,0,2
TR61119,2,2,3,0
TR61120,7,5,4,8
TR61121,0,1,6,1
TR61122,5,2,3,2
TR61123,75,62,320,267
TR61124,1,3,6,6
TR61125,0,2,1,3
TR61126,0,3,2,5
TR61127,7,2,3,2
TR61128,1,1,2,7
TR61129,2,13,9,15
TR6113,0,20,6,15
TR61130,2,1,1,3
TR61131,0,0,10,0
TR61132,0,4,0,3
TR61133,3,6,6,1
TR61134,4,3,1,2
TR61135,0,3,1,5
TR61136,7,15,0,7
TR61137,3,6,6,9
TR61138,2,3,1,1
TR61139,3,0,13,10
TR6114,9,5,19,12
TR61140,0,0,1,9
TR61141,0,1,2,8
TR61142,13,8,15,16
TR61144,3,3,8,5
TR61145,11,3,4,2
TR61146,5,7,0,5
TR61147,1,3,3,3
TR61148,3,4,6,4
TR61149,0,1,2,6
TR6115,1,2,0,1
TR61150,2,0,5,1
TR61151,2,6,1,3
TR61152,2,1,4,9
TR61153,5,6,8,5
TR61154,2,4,0,8
TR61155,0,0,3,2
TR61156,6,1,1,2
TR61157,1,4,1,0
TR61158,6,1,9,5
TR61159,0,1,5,3
TR6116,12,0,0,2
TR61160,6,5,0,12
TR61161,1,0,1,0
TR61162,1,5,2,9
TR61163,2,1,7,2
TR61164,3,10,1,2
TR61165,3,4,5,5
TR61166,0,1,3,17
TR61167,7,0,0,5
TR61168,0,0,11,3
TR61169,1,3,6,11
TR6117,8,3,27,10
TR61170,3,3,11,11
TR61171,0,0,7,3
TR61172,1,2,4,3
TR61173,0,1,3,7
TR61174,0,1,3,3
TR61175,3,1,4,3
TR61176,0,1,3,1
TR61177,0,0,3,2
TR61178,3,7,1,5
TR61179,5,2,9,9
TR6118,61,50,0,0
TR61180,7,2,4,1
TR61181,2,4,1,1
TR61182,3,0,2,7
TR61183,2,3,2,1
TR61184,2,6,3,8
TR61185,4,3,5,1
TR61186,1,0,0,4
TR61187,2,2,4,5
TR61188,0,0,15,0
TR61189,8,3,7,2
TR6119,6,15,10,3
TR61190,2,7,3,3
TR61191,3,5,4,1
TR61192,3,10,3,4
TR61193,3,2,6,7
TR61194,2,1,2,2
TR61195,12,5,4,2
TR61196,4,2,8,32
TR61197,0,2,4,8
TR61198,4,7,12,18
TR61199,2,5,1,7
TR6120,0,8,0,2
TR61200,4,5,8,9
TR61201,7,2,4,3
TR61202,3,2,3,5
TR61203,1,1,6,3
TR61204,1,8,0,1
TR61205,1,3,8,2
TR61206,3,11,0,1
TR61207,6,1,13,7
TR61208,0,2,3,4
TR61209,10,9,8,7
TR6121,5,0,4,1
TR61210,7,2,5,4
TR61211,3,3,11,9
TR61212,0,2,7,9
TR61213,3,0,1,4
TR61214,3,6,9,6
TR61215,4,1,2,0
TR61216,1,0,0,10
TR61217,4,4,2,6
TR61218,3,4,3,7
TR61219,0,3,5,6
TR61220,6,0,1,2
TR61221,6,3,2,6
TR61222,4,5,3,6
TR61223,3,8,6,3
TR61224,1,6,5,5
TR61225,0,3,2,5
TR61226,0,3,6,1
TR61227,0,37,1,1
TR61228,13,1,6,3
TR61229,1,1,1,4
TR6123,4,3,3,7
TR61230,3,2,7,7
TR61231,4,2,1,2
TR61232,0,3,11,18
TR61233,5,3,34,0
TR61234,3,2,2,2
TR61235,7,5,5,1
TR61236,14,12,1,2
TR61237,6,0,0,0
TR61238,2,2,7,11
TR61239,0,0,4,8
TR6124,0,3,8,2
TR61240,1,4,3,3
TR61241,4,2,6,5
TR61242,2,3,6,1
TR61243,3,3,2,3
TR61244,2,6,4,21
TR61245,0,6,4,3
TR61246,3,10,11,1
TR61247,2,5,5,9
TR61248,0,15,0,1
TR61249,3,1,4,4
TR61250,1,0,6,3
TR61251,1,1,2,2
TR61252,2,0,13,6
TR61253,2,14,2,1
TR61254,1,2,4,18
TR61255,6,20,6,3
TR61256,2,0,7,1
TR61257,0,1,16,13
TR61258,4,3,1,5
TR61259,3,1,1,1
TR61260,1,5,2,0
TR61261,0,0,0,14
TR61262,2,0,3,3
TR61263,3,3,3,3
TR61264,0,9,0,5
TR61265,5,4,3,4
TR61266,6,5,6,2
TR61267,4,5,7,6
TR61268,0,5,1,5
TR61269,4,4,1,0
TR6127-1,4,14,6,4
TR6127-2,1,4,11,4
TR61270,2,2,6,3
TR61271,2,0,6,3
TR61272,8,9,14,8
TR61273,5,0,3,1
TR61274,1,0,21,5
TR61275,7,3,5,4
TR61276,0,2,13,5
TR61277,4,3,3,4
TR61278,5,11,11,24
TR61279,4,1,5,5
TR6128,0,2,4,6
TR61280,3,27,16,7
TR61281,2,3,1,2
TR61282,2,0,8,2
TR61283,5,8,7,15
TR61284,16,30,17,5
TR61285,1,7,8,4
TR61286,7,0,1,3
TR61287,2,2,2,4
TR61288,4,7,4,10
TR61289,0,1,5,6
TR6129,8,12,8,10
TR61290,1,5,3,7
TR61291,0,3,4,1
TR61292,1,1,5,4
TR61293,24,5,0,12
TR61294,6,8,13,4
TR61295,3,1,3,12
TR61296,0,2,2,2
TR61297,1,3,6,0
TR61298,8,4,1,2
TR61299,2,4,7,2
TR613,1,1,5,5
TR6130,7,9,5,6
TR61300,1,5,1,3
TR61301,3,6,12,13
TR61302,1,1,1,2
TR61303,21,0,0,0
TR61304,10,5,5,4
TR61305,2,1,2,4
TR61306,0,2,1,1
TR61307,21,17,39,24
TR61308,0,2,4,2
TR61309,2,14,9,1
TR6131,11,13,13,4
TR61310,1,2,4,2
TR61311,1,1,2,6
TR61312,2,8,2,8
TR61313,4,6,50,377
TR61314,2,2,2,2
TR61315,0,0,4,3
TR61316,6,19,5,5
TR61317,3,1,2,4
TR61318,4,6,6,3
TR61319,2,1,5,0
TR61320,5,2,7,5
TR61321,0,3,4,3
TR61322,8,2,1,0
TR61323,2,0,1,0
TR61324,14,4,3,3
TR61326,7,1,6,1
TR61327,3,5,3,6
TR61328,1,3,1,3
TR61329,4,3,2,2
TR6133,4,3,7,3
TR61330,0,2,2,3
TR61331,1,2,3,5
TR61332,0,0,4,4
TR61333,4,6,1,3
TR61334,1,2,1,3
TR61335,3,4,5,10
TR61336,2,2,2,1
TR61337,1,0,0,7
TR61338,7,0,0,0
TR61339,0,1,1,6
TR6134,1,3,5,6
TR61340,1,2,2,2
TR61341,1,3,2,5
TR61342,7,0,0,0
TR61343,0,0,5,1
TR61344,9,3,4,4
TR61345,0,0,0,14
TR61346,0,3,2,8
TR61347,2,1,6,0
TR61348,3,1,8,3
TR61349,2,7,7,4
